sample_3000_tweets,class
 coronarovirus  فيروس_كورونا  كورونا  coronovirusoutbreak  coronoviruswuhan  ,0
"عاجل
الخطوط الجويه اليمنيه توقف رحلاتها والي الصين
من جيز الناس    ",0
اطالب بتعطيل الدراسه  كورونا+ومالنا خلق   ,0
"تحصنت بذي العزه والجبروت 
و اعتصمت برب الملكوت   
و توكلت علي الحي لا يموت    
اللهم اصرف عنا الوباء  
 قنا شر الداء    
و نجنا الطعن الطاعون البلاء   
بلطفك لطيف خبير   
انك علي كل شيء قدير   

 كزرونا
 فيروس_كورونا
 كورونا_الجديد  ",0
" فايروس_كورونا

ماهو فايروس كورونا كيف ينتقل وماهي طرق الوقايه باذن الله    

  ",0
عمو العجوز للاحتياط لابس كمامه         ,0
"والله دي اكتر الحاجات الواجعانا ومستاءه انا شخصيا
 وزاره الخارجيات
خلو الخارجيات بتاعتكم دي




 سودانين_في_ووهان
 فايروس_كورونا
 الاجلاء_الجماعي  ",0
" عمان تعلق الرحلات الجويه  الصين
  ",0
" غرد_كانك_الجزيره_عاجل
  عاجل         

اعلنت وكالات انباء عالميه بانه القبض علي جرثومه كورونا المسببه لمرض كورونا واعترفت بانها مدعومه السعوديه وسنوافيكم بالتفاصيل  ",0
اكيد عمليه نوعيه لانها انقاذ ٧١ طالب اردني وعرب سوريا فلسطين  تونس عمان البحرين وباء الكورونا المتفشي في المدينه يعيشون والاهم انهم رجعوا والان تجري الفحوصات ويقدم العلاج اللازم  ,0
"عمان الخطوط السعوديه  تعلقان الرحلات الصين  كورونا  

 الصين
 سلطنه_عمان
 السعوديه 
 كورونا_الصين 

  ",0
"وزاره الزراعه الصينيه تءكد تفشي  فايروس_انفلونزا_الطيور  اتش ان 1  المميت في مقاطعه هونان  الواقعه الحدود الجنوبيه لمقاطعه هوبي  مركز انتشار  فايروس_كورونا 

شهر عم يغار شهر  ",0
"طالب يمني في  الصين
الحكومات العربيه سحبت طلابها
والسفير اليمني كلو ثوم حلبه  ",0
" الصحه   لا اعراض اصابه كورونا  علي 81 معزولا 
 هلا_اخبار  الاردن  كورونا  ",0
"   لا مساعدات حكوميه لا قروض  كنت ستنشء شركه  اعتمد علي نفسك

 8 دروس تتعلمها  جاك_ما اغني رجل  الصين 
 تطوير_الذات 
 رياده_الاعمال  ",0
"المهمه انجزت 
والصين انتهت بناء المستشفي 
يظهر مقطع الفيديو بناء مستشفي في مدينه يوهان في الصين خلال 10 ايام لعزل علاج المصابين بفيروس  كورونا  ",0
"بلاش يكون كورونا  ابعدي عن الجميع  بمزح
الحمدلله السلامه      ",0
"الصين تبهر العالم ببناء مستشفي في ايام فقط  صور



 السوسنه  اخبار  الصين  ",0
"قالوا اليمنيون في الصين مهددون بڤيررس كرونا  
قلنا الحوثي اكبر ڤيروس معمر اكثر عام  ",0
"مالوش علاقه علي فكره 
وياتري امريكا واسراءيل بيحافظوا علي مسلمي العالم ولا بيقلوهم زي الصين والهند وميانمار  ",0
واقعی پاکستانی میڈیا شر انكیزی کی خبریں چاءینہ جیسے دوست ملک کو بدنام کرنے کے لءے پھیلا رھا ھے ووھان میں کھڑے پاکستانی کیا کہہ رھے ھیں سنءیں ایک ٹچ پر  ,0
"اعداد المصابين بمرض كورونا وصلت 14 636 والوفيات 305  والمتعافين 443  معظم المصابين في الصين 
منها اليابان 20
تايلاند 19
سنغافوره 18
جنوب كوريا 15
هونغ كونغ 14
استراليا 12
المانيا 10
تايوان 10
الولايات المتحده 8

 كما وصلني  بس اعداد الوفيات رقمهم متواضع  ",0
 الصحه في بريطانيا  البحث عن 480 صينيا ووهان اختفوا في بريطانيا  ,0
الوقوع في ايد ربنا احسن الوقوع في ايد البشر كورونا احسن  ,0
" خبرفوری 
فرد مشکوک به  ویروس_کرونا در  اصفهان قرنطینه شد
 كورونا 
خبر کامل 
  ",0
تصاب الصين بالشلل تدريجيا لن ياثر عليها فقط بل سيكون تاثير الشلل عالميا في العديد المجالات الصناعيه فقط اصبحت الصين االتي تسيطر علي اسواق العديد البلدان في العالم خصوصا في العقد الاخير والسبب فيروس غريب والاغرب توقيت انتشاره والصين تستعد ان تقود العالم اقتصاديا  ,0
الصين هتلاقيها منين ولا منين     ,0
"تقارير  الصين تجاهلت معلومات طبيب حذر كورونا 

لتفاصيل اكثر


 KLiveHub  News  ",0
امريكا تمنع دخول شخص كان في الصين خلال اخر اسبوعين وتعلن حاله الطواريء الخصوص الحمدلله اخر مره رحت للصين قبل اكثر شهر  Coronarivus  كورونا  ,0
الحممدلله حنا مافينا امراض ولا اعراض وكلنا سليمين وطيبين ولكن الحجر الصحي لتاكيد وسلامتنا وسلامه وططننا الغالي     ,0
مع  كورونا   ما سيجري للمسافرين جوا للصين  كورونا_الصين  ,0
"فيروس كورنا المحترم
اسال  اللہ   ان يقويك ويطيل عمرك في الصين يجعل لك ذريه واحفاد في روسيا
وان تنال جنسيه واقامه داءمه في ايران يجعل ڵڱ اسما ظاهرا وعملا متقننا في امريكا واسراءيل وكل تخاذل وظلم الشعب السوري ولمسلمين في كل مكان يحمي امه محمد مڼڱ  ",0
الصين كارثه صحيه بعد الكورونا انتشار انفلونزا الطيور في هونان عبر  ,0
" اخبار_العالم 
 الفليبين   تسجيل حاله وفاه خارج الصين  فيروس_كورونا

  ",0
واش غادي تدير شي عمليه تعقيم قبل ما ترجعها للخدمه الاعتياديه        ,0
 الصين  ,0
" فيروس_كورونا 
 تعليم_محايل_عسير 
   ",0
بدبختانه افغانستان به وایروس های قویتر مهلکتر از وایروس کورونا مبتلا است   ,0
بعض الكلمات حراره اللقاء      ,0
 كورونا والتحرش  ,0
"2019 nCoV منشوره  
صوره اشعه مقطعيه لاصابه الرءه بفيروس كورونا  لمريضه في الصين تبلغ العمر ٣٣ عاما ويلاحظ تفاقم الحاله في الصوره علي الرغم العلاج المكثف لمده ايام  كورونا  ",0
   اجلاء اكثر 700 مواطن الصين وادير اعمال السفاره منزلي  ,0
"ليست بحرب وقنابل نوويه ولا نيازك السماء شوارع الصين خاليه  مخلوق مخلوقات الله صغير لايري بالعين المجرده ارعب اكبر دول العالم  
  وما يعلم جنود ربك الا  
لمن الملك   ",0
"فلماذا السلوك العدواني الغير انساني هذا
ولماذا السخريه والاستهذاء بالبشر ولماذا
لانقف وقفه جديه وتوعويه للتاخي والتعايش واحترام الانسان 
ونصد الكراهيه والسلوك العدواني حتي
نترك اثرا قويا ينعكس علي العالم اجمع
يتبع   الصين  ",0
لو تاملت في حالك لوجدت ان الله اعطاك اشياء دون ان تطلبها  فثق ان الله لم يمنع عنك حاجه رغبتها الا ولك في المنع خيرا تجهله   الصين  ,0
"استاذ احمد الا يوجد هناك تبادل تجاري كبير بين امريكا والصين  
كيف امريكا مستفيده واغلب الشركات الامريكيه الكبري غادرت الصين امريكا متضرره  ",0
كان فيه فقره في برنامج شريف عامر يحدث مصر دا زوجين جايين الصين وكانتو بيتكلمو علي نوع الكمامات اللي المفروض الواحد يستخدمها وطريقه لبسها كله  ,0
سفاره المملكه لدي كوريا الجنوبيه تدعو المواطنين المتواجدين في  كوريا لاخذ الحيطه والحذر والتقيد بتعليمات السلامه للوقايه فيروس  كورونا الجديد   ,0
"بلي الصين بوباء كرونا 
وبلي اليمن بوباء اءمه الاستعباد  ",0
"ابوك لما يشوف النتيجه 
  انت تروح الصين الصين حلوه     ",0
صدي البلد   عاجل منظمه الصحه العالميه  لا توجد ايه اصابات بفيروس  كورونا في  مصر  صدي_البلد  البلد عبر تطبيق نبض  ,0
" الرقاصه_يتهجم_علي_الكويت
 المعجب_السري
 بنك_مقتطفات
 فيروس_كورونا
اليوم تاريخ مميز 2 2 2020 
اتمني يصادفني شي جميل
 ويبقي ذكري مميزه      ",0
سوي دقني بعين عشان يجيني كورونا مره وحده  ,0
 Mosaique  ,0
بعد كورونا   فيروس انفلونزا الطيور  المميت  يجتاح الصين  ,0
"هههههههههههههههههههه
وذنبه ايه فيروس كورونا حرام عليكوا
ثم لو احمد موسي راح هناك الفيروس هيسيبله المكان بحكم الاقدميه وسعتها ممكن الفيروس يجي  ",0
انت ياهو تحجي الله يبتلي بليت الصين بلوه لمن اجاها كورونا الله اليستر شرلخ يصير  بعلاوي       ,0
"الوكاله الوطنيه مختبرات مستشفي  سبلانساني للامراض البكتيريه  في  روما  استطاعت السيطره علي فيروس  كورونا  عبر اكتشاف مضاد حيوي في فتره قصيره جدا 

وطبق الدواء الجديد علي الساءح الصيني وزوجته ومواطن رومانيا  تخطوا مرحله الخطر   ",0
"سجلت السلطات الصحيه في  الفلبين حاله وفاه  فيروس_كورونا_الجديد لرجل صيني مدينه  ووهان 
جريده  وجهات 
 فيروس_كورونا  ",0
"انتي عندك كورونا
طيب ما انتي عدك عدي
الهم طيلني وطيلك  ",0
بالفيديو   الامارات تضيء معالمها تضامنا مع  الصين  ,0
" 

 انت  كورونا  ",0
" كورونا_الجديد
اليوم الاول  برنامج التوعيه من
فايروس كورونا 
من تقديم
الاستاذ  مشاري الجابري
مع طلاب الصف الرابع والصف السادس


  ",0
نرجو الشعب  المصري تفويض الاعلامي الصادق احمد موسي للسفر للصين لنقل اخبار واسباب فيروس  كورونا  ,0
"تضامننا الكامل مع زملاءنا الدارسين في الصين ففي الوقت تجلي حكومات العالم طلابها ورعايها المدن المنكوبه  الحكومه اليمنيه تقطع المستحقات عن طلابها وتتركهم يعيشون ضحايا للوباء والجوع 
 فيروس_كورونا_الجديد  ",0
فينك راجل زماااان     لو كورونا اللي كان هيجيبك كنا جبناهولك زمان     ,0
ما تقوم تشوي صباعين كدا نشوف  فيروس_كورونا ده حكايته ايه  ,0
"١٠ وذلك في مقاطعات سيتشوان وجيانغسو وهيلونغجيانغ في السنوات الاخيره  
 ان الحكومه الصينيه حساسه للغايه لتهديدات الاحتجاجات كتلك وقعت في ووهان في ظل مذبحه تيانانمن 1989 تلوح في الافق  تعد الدعوات العمل الجماعي بين اكثر المواضيع تخضع للرقابه علي الانترنت  ",0
"جهتي مامن حالي نحنا بالضيعه ماعنا بشر ولا بنشوفن الا بالمناسبات والاعياد   
 مع_الصين_ضد_الامبرياليه  ",0
لايكون رحتي الصين      ,0
"كيف يعيش المغتربون المصريون في ووهان     طالب دكتوراه مصري يكشف  اندبندنت عربيه  التفاصيل 
 اندبندنت_عربيه_تغنيك  ",0
"مصريه ترفض العوده الصين   هرجع بالدكتوراه مش الموت 
التفاصيل  
 صدي_البلد  ",0
"الطاءره الجزاءريه الثانيه لنقل الاخوه التونسيين الليبيين الجزاءر الصين خجوه راءعه لاثبات ان ما افسدته السياسه قد تصلحه الايام    

سبق قد ملك الاردن بنفس الفعل نقل طلبه عرب الصين     

    

 فيروس_كورونا  ",0
"بعد  كورونا    فيروس انفلونزا الطيور يتفشي مجددا في الصين
عبر  اخبار العالم

  ",0
" البنتاغون يخصص قواعد عسكريه لاستيعاب المحجور عليهم  كورونا
 شبكه_الاسبوع  ",0
احنا نوديه الصين الصين حلوه  ,0
"شوف اخويا كل دول العالم المتقدم يجيلها كورنا علي هيءه فيروس احنا في مصر بناكلها علي هيءه بسكوت عادشي  
عرفيهم غلطهم مسر   
 كورونا  كورونا  كورونا_فيروس  كورونا_الجديد  كورونا_لا_يهدد_مصر      ",0
حتي كثر ما محمد بيشي بيفشخ المستشفي كمامات مصور نفسه   ,0
"اعراض فيروس كورونا 
نفس الاعراض لما حرمتك تمسك موبايلك    
ارتفاع الحراره    تسرع نبضات القلب    قلق    توتر    اصفرار    اسهال    الم بطن شديد
       ",0
سوته الصين في الايغورمن ذبح وقتل وحرمانهم ممارسه طقوسهم الاسلاميه واختطاف الاطفال المسلمين عشان يخلونهم اعداء ضد دينهم لمن يكبرون ماشوف المشاهير او وساءل الاعلام تحجت عن حدث بس لمن جاهم فيروس قاتل دمرهم الرءيس الصيني تحدا الله الكل متعاطف معاهم خراعليكم  كورونا  ,0
عاجل  طبيب مختص يكشف للعالم علاج فيروس كورونا ويدعو لاستخدامه قبل فوات     عبر  ,0
" القطريه  تعلق رحلاتها  الصين نظرا للتحديات التشغيليه الراهنه

 كورونا
  ",0
ولقد كان اهم اسباب انسحاب ترامب اتفاقيه باريس للمناخ قناعته ان الصين المسءول الاكبر عن التلوث البيءي العالمي وتغير المناخ وارتفاع درجه حراره الغلاف الجوي لكوكب الارض وينبغي عليها تحمل العبء الاكبر في جهود وتكلفه حمايه الكوكب التلوث ولم يفهم الغرب ذالك ولم يستوعبه  ,0
الله قبل امس تعرضون المساعده الصين     ,0
دول كبري تعارض الاتفاق الصيني لاسباب مهمه فوجود الصين في الشرق الاوسط خلال بوابه العراق سيمهد لنفوذ صيني عالمي وسيجعل الصين القوه الاقتصاديه الاولي علي مستوي العالم الثورات والاضطرابات حصلت بالعراق وتنحيه عبد المهدي احد الاثار الجانبيه لهذه الاتفاقيه  ,0
"لو فرضنا انو السودانين الهناك مصابين   
فرض العلاج افضل ليهم في السودان ولا الصين   
هل بلدنا دي في وضعها الراهن ده بتقدر تكافح المرض وصل لا قدر الله     ",0
 الصين_كورونا  ,0
"الصين امريكا بريطانيا فرنسا كوريا الشماليه المانيا 
لديهم مختبرات لتصنيع الفيروسات كسلاح جرثومي قاتل خاصه وهم يملكون مخازن لفيروسات الطاعون الجدري الحصبه الايبولا 
الحروب الاقتصاديه لاتحتاج جيوش
بل نشر محلول جرثومي في محطات المياه او الهواء وينتهي الامر  ",0
عاجل   البنك المركزي الصيني يضخ 173 لمكافحه فيروس  كورونا  ,0
شهد العالم باسره عظمه الله سبحانه في جمهوريه  الصين العظمي ولازال العالم لا يتفكر ولا يتعظ  ,0
الله قادر كل شي يااخوان في الصين عبره كل ما حرمته المسلمين ياتي به الله اليهم  ,0
" ابو_ظبي   تضامنا مع  الصين    الامارات تضيء  برج_خليفه ومعالم اخري بالوان العلم الصيني

في حمله اطلقتها الامارات للتضامن مع الصين تواجه فيروس  كورونا   اضاءت عددا معالمها البارزه وفي مقدمتها برج خليفه ومبني شركه بترول ابوظبي  ادنوك   بالوان العلم الصيني   ",0
" 
اطلبوا العلم اينما كان الا في الصين
    ",0
تدبیر ساده برای کنترل مدیریت موضوع شیوع  كورونا نمیتونن انجام بدن اونوقت شش ساله دارن خودشونو پاره میکنن اای فقط ما بلدیم کشور اداره کنیم بقیه خرن  ,0
"باتمان نزل ينقذ الناس الصين عادي 
الناس بيشكروه  ",0
جد كورونا  ,0
 كورونا  ,0
تعليم الاحساء يطلق حمله توعويه صحيه للوقايه فيروس كورونا الجديد    ,0
مقارنه بين انواع فيروسات  كورونا  ,0
طب عايزه افهم الصين بتتعامل ازاي مع اكتشاف حاله نقله للفايروس  وكما قريت ان في حاله بتتعافي لو مش خطيره   كورونا  ,0
"تعليمات الوقايه فيروس الكورونا
朣楢琴执执 瑩浻牡楧硰执执獧浻牡楧敬瑦 絸朣杢执獧扻捡杫潲湵 潣潬昣昸昸慢正 牧畯摮椭 慭敧敷止瑩札慲楤湥楬敮牡氬晥⁴潴敬 瑦戠瑯潴牦浯潴 捥捥捥戻捡杫潲湵浩条眭 扥楫 
وينصح ب
  楬敮牡 札慲楤湥潴昣昸昸攣散散戻

ولا تنسوا غسل اليدين           ",0
شرايكم نسافر الصين التذكره علي حسابي  ,0
"ظهور لكورونا الجديد كان في مدينه يوهان الصين   احتمال كبير يكون ترسب بيولوجي نظرا للابحاث اللي قامو بيها الصينيين ظهور للمرض كان يبعد بمسافه قريبه المختبرات 
مسار المرض غير معروف توجد فرضيات كثيره   ",0
"بيان  الخطوط_السعوديه حتي اشعار اخر  
 الصين  كورونا 
   ",0
فیروز  چین کې افغانستان سفیر په ووهان کې افغان محصلینو روغتیا په تړاو ډاډ راکړی او ټول افغان محصلین ښه دي   ,0
"مقتدي القذر خميني العراق الجديد 
سرطان العراق مقتدي المنغولي والغنم مالتو 
 كورونا العراق مقتدي
 يسقط_محمد_توفيق_علاوي 
 مقتدي_خاءن_للوطن  ",0
"انفلونزا الطيور تعود للظهور في  الصين تزامنا مع كورونا
  ",0
"منظمه الصحه العالميه  دول فقط في  الشرق_الاوسط لديها امكانيات مختبريه للكشف عن  كورونا

  المنظمه تعتزم تزويد 10 دول في المنطقه بادوات اختبار الفيروس وارشادهم بطرق التعامل 

  ",0
يادرا فيك  فيروس الكورونا  ولا مفيكش لا لا مفياش ايا روح تربح   ,0
تنظيمات جهاديه اخطر فيروس كورونا  ,0
ايران تفرض رقابه صحيه مشدده علي الوافدين الصين  ,0
الاشتباه باصابه 25 في قطر بفيروس  كورونا     ,0
سعيد جدااا بمرض الكورونا حقيقي حاسس ابتلاء ربنا للصين علشان اللي عملوه المسلمين كلهم بقيوا محجبين حقيقي حاجه تفرح  ,0
يكولون فيروس كورونا دخلوه للعنايه المركزه بعد اصابته بمرض مقتدي الهبل      ,0
"وراك وراك حتي لو هربت  لبنان
مصارف لبنان اخطر  فيروس_كورونا  ",0
" الصين  ارتفاع عدد الوفيات بفيروس  كورونا 304 اشخاص
  ",0
الحكومه الروسيه تدرج فيروس  كورونا  الجديد ضمن قاءمتها للامراض الخطيره  يتصدرها الايدز  والطاعون  والسل  في وقت تستعد فيه للبدء باجلاء مواطنيها العالقين في مقاطعه  هوبي  الصينيه علي متن طاءرات عسكريه  غدا الاثنين   قنا  ,0
"عساهم بالمرض ينتشر بينهم لين يبيدون عن بكره ابيهم 

حسبنا الله ونعم الوكيل فيهم    اللهم زدهم وباء وافتك بقوتك وبطشك ياحي ياقيوم  ",0
" عاجل البنك المركزي الصيني يخصص 1 2 ترليون  173  لمكافحه  كورونا المستجد

 جريده_الرايه  ",0
"حتي لو 305 حاله ماتوا في الصين 
و 14300 حاله مصابه علي مستوي العالم والمرض رصد حالات له في 25 دوله علي مستوي العالم 
لا يعتبر حتي وباء مقارنه بعدد سكان العالم 
منظمه الصحه العالميه بتضخم مرض جديد بتعمل حاله ذعر علي مستوي العالم دون مبرر مقنع 
تذكري انفلونزا الطيور  ",0
" فيروس_كورونا_الجديد
اعراضه     وطرق انتقال العدوي  ",0
"فعن عاءشه  رضي الله تعالي  قالت  سالت رسول الله عن الطاعون فاخبرني  عذاب يبعثه الله علي يشاء  الله جعله رحمه للمءمنين 

 كورونا_طاعون_العصر   
 كورونا 

  ",0
" وزاره_التعليم  فيروس_كورونا 
طرق الوقايه فيروس كورونا  ",0
 كيف قفز  فيروس كورونا  باسعار الذهب    ,0
قطاع الاعمال  تاجيل مفاوضات تصنيع السياره الكهرباءيه مع الشركه الصينيه كورونا  ,0
" كورونا  يودي بحياه 304 ويصيب 14 الفا 



 كورونا  ",0
"

 كورونا  فين_حق_الاهلي  صباح_الخير  ليه_الراجل_دايما_سنجلᅠ  ",0
بعيدا عن العواطف لو هم الصين حيتعالجو لو جو السودان حيموتو هم قبل نقل وباء  ,0
"في ظل الصراع الاقتصادي المحتدم بين الصين وامريكا يظهر فيروس كورونا يجعل اكبر اقتصاد عالمي معزول ومحاصر  
اغرب ما في الامر التوقيت  الحشرات الحليفه لحدوث الكوارث
 زلزال تركيا وقبلها ايران عشيه قصف قاعد عين الاسد  مشروع هارب تقينيه متقدمه جدا والمستفيد المتهم الاول  ",0
وفي القلب حراره     ,0
"مع تفشي الوباء الفيروسي    السعوديه تعلق رحلاتها  جوانزو  الصينيه

  ",0
مره احس بالشعور ده كل مره لما اجي اقراء سوره  البقره  كنت اقراها متقطعه كل اقراء كام ربع عشان اخلصها بس انبارح نويت اقراها كلها كامله حسيت بشعور غريب في جسمي واوول مره احس بالشعور ده وجسمي كله طالع منه حراره غريبه وعمري محسيت بالكلام ده قبل كده     ,0
اللهم نستودعك الكويت واهلها واحبتنا في كل مكان والمسلمين والمسلمات يامن لاتضيع عنده الوداءع اللهم نعوذ البلاء ونعوذ البرص والجنون والجذام سء الاسقام  الصين_كورونا  ,0
"عاجل الفلبين تعلن وفاه بفيروس كورونا الاولي خارج الصين العربيه
 الفلبين
 الصين
 فيروس_كورونا  ",0
 صراع مع الكحه   ,0
السلطات الصينيه تستخدم طاءرات الدرون لتحذير الناس بعدم الخروج وارتداء الماسك وغسل اليدين جيدا في محاوله للسيطره علي فيروس  كورونا  القاتل الصامت    ,0
"جديدنااا 
 قماش جفنشي هندي شتوي خااامه نظيفه
 قماش جفنشي صيني ربيعي خامه نظيفه 
 ثلاثه متر ونص عرضين
 ٢ علامات الماركه 
 ٨ زرارات جفنشي 
 شماغ جفنشي 
 مقاسات الشماغ 60 58 55
 شنطه يد قوتشي_لويس فيتون
 عطر مخلط الشرق ١٠٠ملي
 علبه فخمه ماركه جفنشي 
 السعر  270ريال فقط   ",0
ههههههههههه بالله خليني ماعنديش متنفس الا الحاجات هده   كورونا وحرب واستقاله    نعيشوا ايامات حلوه باللي يجي  ,0
وصول الطلاب السعوديين الصين  ,0
" اندونيسيا توقف رحلاتها والي  الصين
 فيروس_كورونا
 coronavirus

  ",0
كلنااا حتي لو عز الحر اصلا حراره الجسم تختبص كلها  ,0
 كورونا     ,0
واش عرفت شحال عدد سكان الصين ونص اييه اسيدي  ,0
خل نخلص موضوع الكورونا   ,0
الصين  وصول اجمالي عدد الاصابات بفيروس  كورونا في 14380 حاله وعدد الوفيات 304 حالات  ,0
" كورونا_الصين

طرق وزارات الصحه في كل مكان بالعالم للتعامل مع المرض مشابهه للتعامل مع حاله الزومبي حيث ان الشخص المصاب يتعاملون معه كعدو وكانه كاءن زومبي مع الاسف  ",0
 مصر تجلي مواطنيها الصين بطاءره خاصه   ,0
الحين السيسي يروح الصين ويرجع السعوديه عشان يسكن معاهم  ,0
"للتقليل خطر الاصابه بفايروس  كورونا المستجد 
 توعيه  مكه  وقايه  ",0
ظهور حاله اصابه بفيروس الكورونا بمصر  ,0
عقبال ما تختفي الصين الكره الارضيه شعب قذر وعديم رحمه  ,0
"الصين تواجه فيروس كيرونا باستخدام الكمامات التركيه    
بعد ان نفذ مخزونها المستلزمات الطبيه   
اوباش الاعراب   يريد مقاطعه تركيا      ",0
"الصين ترسل وحدات طبيه عسكريه لمواجهه   كورونا 

للتفاصيل   ",0
لا تقيس وعيك وتخبرنا بانك الاكثر تجربه في الحياه انت لا تعلم مامر به امامك لا تستعرض انجازاتك بسطحيه متلبس رداء الفلسفه مادام لا ينعكس انت لست انا وانا ليس الاخر مظهرك يثير وباء النفور    ,0
"لان جسدهم حاضن جيد للمرض  
تره تلاقيهم كلهم شعب الصين عرضه الشي مثل ما قلت الوباء نايم في جسدهم وهذي نتيجته
  طيب الناس انتقل غير تاكل ما سبق لماذا        ",0
"ووهان عاصمه مقاطعه هوبي وتعتبر اكبر مدينه والاكثر اكتظاظا بالسكان في وسط الصين  ويبلغ عدد سكانها اكثر 11 مليون نسمه  وسابع اكثر المدن الصينيه اكتظاظا بالسكان  واحده مدن وطنيه مركزيه في الصين 
 الصين  ",0
"اضيء  برج_خليفه تضامنا مع مدينه ووهان في جمهوريه الصين الشعبيه  

 BurjKhalifa  Wuhan  ",0
