frequency,words
15680,اقصي
73576,توصلوا
32281,اللذي
194752,يشرحه
22963,الحديث
30921,القديم
6273,ابو
92211,سنه
35117,المصري
23421,الحمد
126294,لله
154710,هينتحر
199065,يوصل
24556,الدنيا
57175,بلد
135159,محترمه
89020,زي
66881,تركيا
175774,وضعت
7864,اجلتهم
136365,مدينه
185331,ووهان
27995,الصينيه
139714,مع
98783,طاقم
28168,الطاءره
126672,لمده
11250,اسبوعين
138735,مشفي
42760,اووم
24690,الدونيا
142375,ممرضات
158004,واقفه
67267,تسال
30745,القادم
77273,حاسس
54144,بسخونيه
77962,حج
116728,لاا
99770,طيب
79706,حمد
26332,السلامه
101757,عدي
40023,انت
35122,المصريه
28576,العاءده
65468,تحمل
139156,مصريين
113160,كانوا
197072,يقيمون
165260,وباء
175518,وصلت
54250,بسلام
11381,استثناء
109459,فور
81349,خروجهم
44028,باب
92925,سيتم
42979,ايداعهم
34948,المشدد
143397,منع
25759,الزياره
103681,عنهم
77941,حتي
150374,نهايه
82796,داخل
142473,ممنوع
83425,دخول
81342,خروج
8377,احد
106060,فاللهم
7817,اجعل
77998,حجر
97088,صحي
178733,وكل
64905,تحارب
34808,المسلمين
195880,يعرف
26949,الشخصيه
173745,وساحه
20604,التحرير
127248,لن
68462,تصدر
60154,بيانات
55450,بعد
176524,وعراقيون
78814,حصاد
23172,الحصاد
101766,عديم
27256,الشنب
143854,مهايطجي
83381,دخل
49158,باي
138406,مسيو
87992,ريان
135065,محاوله
30640,الفيروس
18663,الانتشار
23429,الحمدلله
9133,اختي
79838,حنا
110083,فينا
34295,المرض
179955,ولكن
121814,لسلامتنا
174261,وسلامه
22473,الجميع
92615,سوو
119797,لتاكيد
179169,ولاحتوال
29322,العلاج
160381,والحمدلله
114853,كلنا
52487,بخير
175362,وصحه
176322,وعافيه
144070,مو
138905,مصابين
48186,بالمرض
103427,عملوا
97099,صحيفه
23980,الخفجي
16954,الاخباريه
14559,اعلنت
20074,البنتاجون
111815,قلتو
97095,صحيح
143700,منو
106365,فايده
93411,سيكون
38302,الوباءي
12666,اسي
180168,ولن
67446,تستطيع
78849,حصر
17834,الاضرار
177964,وقتها
23459,الحممدلله
131246,مافينا
39457,امراض
14308,اعراض
178779,وكلنا
91739,سليمين
176170,وطيبين
174254,وسلامتنا
176006,وططننا
29708,الغالي
157196,واشنطن
80542,خارج
39913,انا
8496,احس
110121,فيني
79028,حطوني
149024,نعرفه
28697,العالمين
31713,الكلام
113757,كذب
84878,دولي
8027,احاله
74733,جاكرتا
18743,الاندونيسيه
5986,ابرز
137647,مستجدات
52506,بدء
17452,الاستعداد
90577,ستوفر
101714,عده
136559,مرافق
110368,قادره
43407,ايواء
196926,يقل
103520,عن
17966,الاعلان
17689,الاشتباه
51820,بحاله
75372,جديده
150876,نيويورك
123065,لك
86381,رب
26182,السعوديه
68496,تصدوا
121722,لسارس
159053,والايبولا
116356,كيف
198887,يواجه
6056,ابطال
58013,بمطار
139933,معايشه
78947,حضرتك
96098,شوفت
101009,عاملينه
95461,شكله
43378,ايه
140955,مفيش
130769,ماسكات
139424,مطابقه
126159,للمواصفات
13438,اصلا
103774,عوازل
174720,وش
85760,ذولا
144370,موجودين
141336,مقطع
195612,يظهر
116876,لابناء
172697,وذلك
59345,بهدف
79690,حمايتهم
158662,والاطمءنان
91562,سلامتهم
152820,هذا
35937,المقطع
41746,اهتمام
36309,المملكه
31466,الكبير
48481,بالمواطن
81905,خلال
73684,توفير
25227,الرعايه
27611,الصحيه
156656,واساسيات
23568,الحياه
76612,جوانب
20832,الترفيه
195906,يعز
79314,حكامنا
56990,بلادنا
107548,فرنسا
68832,تضع
144163,مواطنيها
38259,الوافدين
87574,رهن
76352,جنوب
19941,البلاد
136335,مدير
35125,المصريين
28578,العاءدين
61955,بينهم
93071,سيده
77535,حامل
174560,وسيتم
69069,تطهير
133981,متعلقاتهم
182661,وملابسهم
109742,فيديو
94077,شاهد
26175,السعودي
126164,للمواطنيين
192360,يحفظ
176100,وطنا
166169,وبس
82161,خمس
147256,نجوم
130856,ماشاءالله
109155,فندق
40885,انشهدمافي
84841,دوله
64953,تحب
95031,شعبها
134538,مثل
192366,يحفظكم
94192,شبابنا
186164,ويحفظ
79385,حكومتنا
188491,ياااارب
92752,سيارات
12361,اسعاف
121851,لسه
136851,مرسي
139548,مطروح
84313,دلوقت
177422,وفرت
117726,لاخواتنا
77060,جيين
81758,خطوط
71893,تليفون
102240,عشان
191491,يتواصلوا
41875,اهلهم
78588,حساب
24663,الدوله
118770,لانهم
193685,يروهم
136309,مده
170748,وجود
9603,اداري
175962,وطبي
134892,مجهز
14576,اعلي
138040,مستوي
79965,حوالي
80173,حيث
133213,متابعتهم
176803,وعلاجهم
18491,الامراض
180312,وليس
133218,متابعه
108381,فقط
124813,للسعودين
81143,خدمه
102035,عز
131450,مال
29063,العز
43422,ايوه
29369,العلمين
153589,هناك
35124,المصريون
28577,العاءدون
173005,ورد
198949,يوجه
55003,بضروره
35050,المصابين
35999,المكان
178145,وقع
110126,فيه
38293,الوباء
196122,يعني
24336,الدخول
182777,وممنوع
23850,الخروج
143650,منه
195403,يطبقه
28258,الطب
35373,المعاصر
14158,اعتمادا
38225,الوارد
199553,١٤٠٠سنه
103159,عليه
27781,الصلاه
161123,والسلام
86483,ربي
196951,يقلك
67311,تسبب
101321,عبدي
149161,نعينك
84790,دوك
38215,الواحد
143328,منطقيا
117881,لازم
38589,الوقايه
154126,هوما
74988,جايبين
98067,صينيين
82894,داروهم
37295,النتيجه
89061,زيد
39642,امكاميات
89071,زيرو
114037,كرهولنا
80088,حياتنا
127982,لوعندي
52424,بخليه
46423,بالحجر
128730,لين
69483,تعدي
106683,فتره
78938,حضانه
159385,والتاكد
12742,اش
196644,يفيدني
8859,اخ
8969,اخت
191854,يجي
164457,وانااعرف
59166,به
136886,مرض
158034,واقول
69240,تعال
57848,بمرضك
41858,اهلك
96213,شويه
102709,عقل
131941,ماني
98263,ضد
76904,جيتهم
100435,عافيتهم
185480,ويارب
131254,مافيهم
96230,شي
182467,ومفروض
190541,يتبين
31660,الكشف
22729,الحاجات
84979,دي
26564,السودان
162673,والله
27067,الشريفي
115244,كنا
58770,بنشتغل
103437,عمليات
137754,مستشفي
112284,قومي
113342,كبير
160922,والزرزور
52611,بدخل
104493,غرفه
29452,العمليه
54607,بشق
23586,الحيطه
67742,تسكو
36295,الممرضه
55620,بعصايه
15868,اكان
83383,دخلت
77492,حاله
155854,واحده
19976,البلد
25308,الرماد
112864,كال
79648,حماد
78686,حسستني
74911,جاهز
181825,ومستعد
117973,لاستقبال
137126,مريض
135191,محتمل
41419,انك
189962,ياوغد
68054,تشتي
72044,تمرض
27097,الشعب
38896,اليمني
56808,بكله
173676,وزيره
62563,تءكد
74920,جاهزيه
17028,الاخلاء
29607,العيادات
23649,الخارجيه
58232,بمناطق
175570,وصلو
46979,بالسلامه
23423,الحمدالله
108478,فكره
28497,الطيارين
161571,والضيافه
16578,الابطال
89520,سافروا
117620,لاحضار
78032,حجزهم
89112,زيهم
36818,المواطنين
103812,عودتهم
54256,بسلامه
10580,ارض
65571,تحيه
155600,واجبه
122178,لطاقم
176858,وعلي
28214,الطاقم
195091,يصطحب
8786,احنا
152054,هانستني
54254,بسلامته
149110,نعمل
127584,له
85166,ديليفري
177969,وقتي
65970,تخيل
193874,يسافر
89451,ساعات
126934,لمطروح
175172,وشوف
113075,كام
137067,مره
152202,هاينزل
186851,ويشرب
186682,ويستعمل
23413,الحمام
185494,وياكل
186250,ويختلط
48537,بالناس
166357,وبعدها
193661,يروح
174120,وسط
26278,السكان
94846,شروط
113377,كتاب
6189,ابله
148934,نظيره
13214,اصابات
43340,اين
196898,يقع
140215,معسكر
125971,للمصريين
133421,متحدث
23319,الحكومه
191856,يجيب
110579,قالك
146218,ناس
87194,رغم
17936,الاعراض
100010,ظهرتش
103610,عندها
196755,يقدر
195835,يعدي
105812,فالحيطه
155578,واجب
38206,الواجب
192325,يحطوا
87387,ركاب
128135,لي
74609,جات
19278,البارح
104983,غيفرقوشي
61791,بين
22023,الجابونيه
161522,والصينيه
186408,ويديروا
128649,ليك
178940,وكيلك
86461,ربنا
77280,حاسه
144357,موجود
5698,ابا
194155,يستقبل
78040,حجم
77554,حاميه
102203,عسكريه
67246,تساعد
78277,حراسه
137540,مساكن
116247,كويسه
68603,تصلح
118347,لاقامه
17856,الاطباء
33243,المتطوعين
71386,تكفين
72394,تنبرشين
102758,عقموهم
175571,وصلوا
55540,بعدين
79031,حطوهم
156323,واذا
99486,طلعوهم
104963,غيره
64146,تتفقد
33951,المخصص
32635,المءكد
48930,بان
87957,رياح
24134,الخوف
90383,ستعصف
111324,قريبا
81582,خصوصا
36559,المنطقه
92523,سوف
191326,يتم
34114,المدينه
36864,الموبوءه
23965,الخطير
177338,وفاه
78063,حد
47214,بالصور
161947,والعيادات
58277,بمنطقه
41549,انهارده
38573,الوفيات
39257,امبارح
118764,لانهارده
110866,قتيل
10322,ارتفعوا
155833,واحد
71906,تم
67612,تسجيل
30449,الفلبين
34618,المستشفي
81878,خلاص
20563,التجهيز
86595,رجعوا
185163,ووصلوا
189143,ياسكان
73888,تويتر
17941,الاعزاء
69520,تعرض
102790,عقيدنا
32921,المبجل
96628,صاحب
113414,كتبانيا
123493,للاصابه
56241,بفيروس
103810,عودته
89042,زياره
103372,عمل
121407,لدوله
27184,الشقيقه
180204,ولهذا
108331,فقد
175771,وضع
23111,الحساب
117528,لاجل
138296,مسمي
119344,لاينقل
28917,العدوي
124417,للحسابات
17006,الاخري
166766,وبهذا
35041,المصاب
22401,الجلل
149660,نقول
122449,لعقيدنا
102784,عقيد
198994,يودونهم
37272,النبوي
184150,ونقل
34302,المرضي
29489,العنايه
163091,والمراقبه
162494,والكشف
162105,والفحص
78175,حديث
133859,متطور
97674,صلوا
98943,طبق
101226,عبد
25112,الرحمن
103848,عوف
91835,سمعت
86980,رسول
97685,صلي
174284,وسلم
197006,يقول
91839,سمعتم
44507,بارض
108556,فلا
70774,تقدموا
164562,وانتم
59170,بها
65714,تخرجوا
107220,فرارا
107030,فحمد
103310,عمر
40933,انصرف
103443,عمليه
69709,تعقيم
137528,مسافرين
40626,اندونيسيين
117836,لارض
176111,وطنهم
149628,نقلهم
32422,اللهم
8634,احفظنا
155930,واحفظ
56977,بلاد
198523,ينفي
30511,الفندق
122523,لعناتي
103134,عليكم
90333,ستصحوا
112646,كارثه
137511,مسافر
86568,رجع
180121,ولم
106989,فحصهم
175802,وضعهم
21297,التفاصيل
124815,للسعوديين
9270,اخرجتهم
11627,استضافتهم
123903,للتاكد
79131,حفظ
173370,وزادها
102037,عزا
171548,وحماها
11276,استاذ
80679,خالد
190961,يتطبق
101669,عددهم
114985,كم
28408,الطلبه
24646,الدول
16778,الاجله
87134,رعاياها
58929,بنفس
39651,امكانياتنا
109708,فيتو
23839,الخرطوم
147585,نداء
125449,للقادمين
21750,التوجه
122045,لصاله
74359,ثم
152944,هرج
181611,ومرج
161416,والصاله
56322,بقت
105068,فااااضيه
153856,ههههههههههههههه
18122,الاقبال
22915,الحجرالصحي
113711,كده
62824,تاريخي
189373,يافندم
24934,الراجل
99442,طلعت
97923,صورته
127871,لوحده
113119,كان
43306,ايمان
23185,الحصري
177860,وقال
114696,كلام
143981,مهم
171992,وخطير
86222,راكبها
164869,وانهرجع
21492,التلات
105103,فات
164860,وانه
60439,بيته
107111,فخور
7158,اتقفلت
89497,ساعه
81347,خروجه
27887,الصوره
131252,مافيهاش
77182,حاجه
68778,تضحك
79284,حقيقي
25971,الست
76426,جهاز
58889,بنعرف
61967,بيه
83568,درجه
22987,الحراره
125853,للمريض
100255,عادي
10319,ارتفاعها
102925,علامه
102920,علامات
26943,الشخص
78263,حرارته
136691,مرتفعه
60891,بيروح
61652,بيكمل
45188,باقي
16757,الاجراءات
39143,اما
28062,الضحك
139908,معاها
22551,الجهاز
111892,قله
9638,ادب
173748,وساخه
175914,وطاقم
197333,يكون
196007,يعفو
135109,محتاج
99763,طياره
80601,خاصه
123464,للاسف
131143,ماعندنا
107643,فريق
98979,طبي
133511,متخصص
193317,يرافقهم
108814,فلنفرض
110945,قدرنا
150631,نوصلهم
135121,محتاجين
181583,ومراقبه
77818,حتحصل
103773,عواره
18907,الاهل
191833,يجو
190881,يتشاكلو
24479,الدكاتره
187062,ويطلعو
42564,اولادهم
172574,ودي
102637,عفويه
173624,وزي
129495,مابقول
39706,امنا
31763,الكمام
30090,الفايروسات
99915,ظروري
198454,ينعطي
105783,فالحجر
118896,لاي
192988,يدخل
132710,ماينفع
89366,سار
155841,واحدصور
18014,الاغلب
116831,لابس
115029,كمام
29122,العشره
104738,غلط
179807,ولسي
7247,اتم
95273,شفنا
81382,خريطه
26464,السناب
189069,ياريت
126504,لمايجون
129675,ماتتكرر
17021,الاخطاء
198102,ينتشر
138760,مشكله
180272,ولي
195490,يطلع
8258,احتمال
196726,يقتل
7723,اجراءات
33027,المتبعه
140291,معظم
29072,العزل
104638,غصبا
199170,يوكل
22678,الجيش
51278,بتنفيذها
118586,لان
34379,المريض
199092,يوضع
15420,اقامه
75140,جبريه
79101,حفاظا
18551,الامن
28711,العام
194517,يسمي
48418,بالمن
38583,الوقاءي
135222,محجورين
113398,كتار
140913,مفكوكيين
89791,ساي
142192,مليان
42982,ايدز
142517,من
96801,صاله
169723,وتمنع
188511,يااتعافي
176058,وطلع
118814,لاهله
189700,يامات
156287,وادفن
91368,سكات
147552,نخلي
42560,اولادنا
38069,الهناك
54094,بستغيثوا
156494,وارسلوا
30183,الفديوهات
10067,اذن
39754,امه
174979,وشعب
119002,لايحترم
19653,البروح
143637,مننا
86004,راح
90814,سر
84216,دكتور
88759,زمايلنا
7201,اتكلفوا
124087,للتعامل
112552,كاتبين
22272,الجروبات
49642,بتاعتتا
30664,الفيس
38197,الواتس
110081,فين
38426,الوزاره
9422,اخلت
113352,كبيره
78165,حدوديه
81559,خصصتها
125686,للمبتعثين
83035,دام
102080,عزك
176094,وطن
139481,مطالبات
49954,بتجهيز
46988,بالسلوم
122405,لعزل
34918,المشتبه
52018,بحضانتهم
152895,هذوما
140841,مفروض
42903,ايتفتشو
192339,يحطوهم
15603,اقرا
104354,غدا
20149,البوابه
28698,العالميه
80739,خاليه
66734,ترصد
127160,لمواجهه
25120,الرحيم
197112,يكتب
78509,حريه
25013,الراي
159699,والتعبير
17613,الاسلام
68514,تصدينا
123712,للاوبءه
152744,هددت
58582,بنجاح
47669,بالفيديو
69534,تعرف
101322,عبر
24921,الرابط
28289,الطبي
192064,يحتكون
110146,فيهم
187064,ويطلعون
53011,برا
140324,معقول
26378,السلك
89878,سبايك
9472,اخوان
188733,ياتينا
44645,باسباب
154080,هوشه
45838,بالبشير
180196,وله
129196,ماءه
55843,بعير
111387,قسما
36972,الموضوع
41885,اهم
97564,صفقه
30987,القرن
72607,تنسيق
18472,الامتعه
158745,والافضل
78399,حرقها
85072,ديرتنا
129261,ماادري
80506,خابره
193021,يدرس
51544,بجامعه
47224,بالصين
128261,ليتنا
147643,ندري
12515,اسماء
34837,المسوءل
103213,عم
17520,الاستهتار
47579,بالفايروس
165434,وبالاجراءات
38584,الوقاءيه
36067,المكلفين
44719,باستقبالهم
130404,ماخذين
86014,راحتهم
16997,الاخر
131996,ماهو
134860,مجموعه
30646,الفيروسات
197845,يمكن
21649,التنفسي
147948,نزلات
19589,البرد
38565,الوفاه
19062,الاولي
33283,المتعلقه
88320,زاروا
141042,مقاطعه
154049,هوبي
191641,يجب
193274,يذهبوا
18337,الالزامي
70404,تفشي
196063,يعلن
81739,خطه
21158,التعامل
25290,الركاب
76184,جميل
93755,شاء
195508,يطلعوا
89632,سالمين
139821,معافين
144140,مواطن
198934,يوثق
199235,يومياته
189705,يامال
195318,يضعوا
123514,للاطمءنان
8531,احسن
77427,حال
107428,فرض
31508,الكثير
7720,اجراء
122183,لطالما
11264,استاء
25097,الرحاله
35641,المغاربه
122283,لظروفه
30777,القاسيه
72786,تنفطر
31151,القلوب
69367,تعبيرهم
10120,اراء
55623,بعض
30399,الفقهاء
162833,والمتصوفه
161000,والساسه
52680,بدعه
31589,الكرنتينه
85713,ذهبت
118575,لامها
34382,المريضه
26098,السرطان
108133,فعادت
111493,قصه
140368,معلمه
17561,الاسراءيليه
70331,تفرض
100208,عاد
190433,يتابع
140047,معتيقه
24680,الدولي
61060,بيسوونه
60699,بيخلونهم
93929,شافت
95359,شك
41518,اننا
147047,نتمني
18924,الاهم
114884,كله
66537,ترتيب
178929,وكيف
64264,تتم
73438,تودوا
56603,بكارثه
11568,استرناش
148954,نعالج
31963,الكوليرا
43938,با
65479,تحملوا
63731,تتحملوا
34467,المسءليه
31329,الكاااامله
18184,الاقل
95902,شهر
112492,كاااامل
10235,اربعه
102264,عشر
111274,قرنا
25665,الزمان
72440,تنتشر
35474,المعديه
159019,والاوبءه
150473,نهي
140362,معلم
19764,البشريه
196450,يفر
34157,المرء
28206,الطاعون
9229,اخر
198147,ينتقل
140518,معه
108317,فقال
97615,صل
163982,واله
29988,الفار
112998,كالفار
25566,الزحف
7715,اجر
27289,الشهيد
141509,مكان
28496,الطياره
115052,كمان
154269,هيتحجز
107124,فداءيين
128798,ليه
20879,التريقه
37180,الناس
95137,شغاله
35237,المطارات
188652,يابني
60518,بيجيلك
53276,برد
160591,والدتك
51028,بتقوم
70146,تغيرلك
147320,نحترم
149318,نفسنا
113665,كدا
67066,تريقه
138083,مسخت
42785,اوي
153809,هنيدي
195541,يطمنو
36813,المواطن
32224,اللبناني
9865,ادهم
26699,السيد
44102,باتت
47831,بالكامل
106382,فايروس
78299,حرب
150641,نوع
12965,اشرس
14341,اعرفها
23007,الحرب
101739,عدوك
45974,بالتحديد
190629,يتحرك
192471,يحمل
32841,المانيا
32828,المان
61195,بيض
13531,اصيبوا
184738,وهم
169642,وتم
86646,رجوعهم
118483,لالمانيا
170955,وحالتهم
63709,تتحسن
51587,بجد
123029,لقياس
50801,بتعمل
16756,الاجراء
33026,المتبع
10309,ارتفاع
78268,حراره
60237,بيتاخد
154689,هيمسكوا
187542,ويكشفوا
44931,باطنه
57019,بلاش
75889,جلد
24780,الذات
46843,بالرياض
23592,الحين
92616,سووا
7832,اجلاء
72859,تنقلهم
124729,للرياض
176238,وع
190469,يتاكدون
26254,السفير
30775,القاسم
25760,الزياني
34958,المشرق
107431,فرضت
26348,السلطات
21820,التونسيه
75782,جعلته
188410,يءلف
111513,قصيده
152657,هجاءيه
170216,وثلاثين
60231,بيتا
30718,القاءم
22435,الجمرك
21817,التونسي
126458,لم
193987,يستجب
117964,لاستعطافه
156777,واستشفاعه
17868,الاطلاع
103160,عليها
20805,الترجمانه
31459,الكبري
191016,يتعامل
54327,بسواقين
17586,الاسعاف
159106,والباصات
154408,هيدخل
177719,وفي
71894,تليفونات
19311,الباصات
65551,تحيا
142227,مليون
126480,لماذا
194118,يستغروبون
74492,جاء
197036,يقولي
83418,دخلوهم
118760,لانه
34097,المده
30377,الفعليه
121013,لحضانه
176223,وظهور
14313,اعراضه
131904,مانقول
197263,يكفيهم
94828,شره
187419,ويقر
104055,عين
41721,اهاليهم
14549,اعلم
51822,بحالهم
32268,اللحين
124901,للشباب
74604,جابوهم
175469,وصف
23132,الحسن
29827,الغسال
126373,للوضع
26245,السفن
93483,سيناء
25107,الرحله
28448,الطنجيه
103590,عندما
22898,الحجاج
142657,مناطق
45734,بالايدز
158880,والامراض
23966,الخطيره
130817,ماسووا
195915,يعزل
71947,تماما
33856,المحيط
23646,الخارجي
172307,ودخلوا
22923,الحجز
39433,امده
131236,مافي
102082,عزل
55839,بعيده
187757,وين
101135,عايشين
110123,فينيزيا
140314,معقل
25401,الرومان
147502,نختلف
17008,الاخرين
8700,احلف
103582,عندك
126785,لمسافرين
127971,لوطنهم
96007,شو
151229,هاد
135961,مخليهم
58163,بمكان
120481,لتلقي
32350,اللقاح
169070,وتعقيم
18745,الاندونيسيين
41279,انقاذهم
9666,ادخالهم
53966,بس
151129,هاتحول
39046,ال٦٠٤
139141,مصري
126805,لمستشفي
152124,هايتعامل
175124,وشنطهم
144625,موظفي
160982,والساءقين
161587,والطاقم
35055,المصاحب
125143,للعاءدين
114896,كلهم
152159,هايروحوا
194469,يسلمنا
186168,ويحفظنا
180844,ومايحوجناش
120946,لحد
39857,امين
35506,المعزوله
101650,عدد
91380,سكانها
148246,نسمه
113411,كتب
98794,طالب
97881,صوت
29280,العقل
28135,الضمير
28219,الطالب
113154,كاننا
148349,نشاهد
110047,فيلم
60437,بيتنقلوا
80552,خارجي
136475,مذيع
194073,يستضيف
12310,اسره
100064,عاءده
13226,اصابتها
136662,مرتديا
115044,كمامه
48377,بالمقلوب
56260,بقا
116842,لابسين
80701,خالص
190649,يتحطوا
106227,فانا
144699,موقعي
13705,اطالب
22459,الجمهور
48771,بالوقوف
84184,دقيقه
78069,حداد
94465,شخره
76008,جماعيه
76795,جوه
37349,النخاشيش
98356,ضروري
16894,الاحساء
106331,فاهمين
48504,بالموضوع
66453,تراهم
131582,مالها
102913,علاقه
69207,تعاطف
36130,الملايين
5693,اب
98054,صيني
100029,ظهوره
190277,يبكي
99296,طفله
55510,بعدما
191363,يتمكن
139902,معانقته
185175,ووضع
61956,بينهما
77173,حاجز
25218,الرضيع
135137,محتجزا
57908,بمستشفي
170978,وحاول
28374,الطفل
22061,الجالس
88427,زجاجيه
97494,صغيره
75407,جذب
40050,انتباه
160660,والده
138796,مشهد
135300,محزن
98726,طاري
58577,بنتي
77292,حاشتها
41223,انفلونزا
78264,حرارتها
72559,تنزل
10228,اربع
42852,ايام
70847,تقريبا
36737,المهم
95504,شكينا
24083,الخنازير
172618,وديناها
18594,الاميري
79030,حطوها
51682,بجناح
113159,كانو
93986,شاكين
10035,اذكر
46357,بالجناح
197891,يمنا
99290,طفل
87111,رضيع
86474,ربو
187989,ويهال
80044,حولنا
99941,ظلت
128692,ليله
180123,ولما
62902,تاكدو
172569,ودوها
148360,نشتاق
123176,لكم
75330,جده
147204,نجران
166526,وبلاد
148683,نصيحه
117731,لاخواننا
38904,اليمنيين
33431,المتواجدين
123616,للامانه
18081,الافضل
56267,بقاءكم
109367,فهي
30898,القدره
118365,لاقدر
13524,اصيب
8405,احدكم
56858,بكورونا
55711,بعلاجه
165901,وبتوفير
36091,الملاءم
38890,اليمن
105344,فاركنوا
48494,بالموت
194084,يستطيعوا
8277,احتواء
72462,تنتقل
23925,الخضروات
157216,واصابت
122228,لطلاب
137006,مركز
34329,المركز
102273,عشره
34991,المشكله
48191,بالمركز
34989,المشكل
58372,بموظفي
193169,يدوروا
139910,معاهم
166059,وبدون
34607,المستشار
146134,نادر
91110,سعد
14535,اعلان
117639,لاحقا
22156,الجثث
64751,تجمع
77584,حاويات
149626,نقلها
33762,المحرقه
124306,للجميع
54493,بشراء
17582,الاسعار
152421,هترتفع
54620,بشكل
76383,جنوني
26738,السيطره
65044,تحجز
183744,ونسبه
67123,تزايد
177250,وغير
138288,مسموح
117598,لاحد
46561,بالخروج
124894,للشارع
15071,افراد
17570,الاسره
38216,الواحده
199238,يومين
194040,يستر
199094,يوضعون
197341,يكونون
84155,دق
24574,الدهب
85151,ديل
193424,يرجعو
14619,اعملو
128815,ليهم
80590,خاص
27546,الصحراء
160228,والحجر
164589,وانتي
165106,واي
89001,زول
193425,يرجعوا
71484,تكونوا
137361,مسءلين
143685,منهم
71946,تمام
131629,ماما
37449,النشوف
18619,الانانيه
83187,داير
194172,يستقل
37006,الموقف
187574,ويكون
138805,مشهور
175952,وطبعا
75035,جايين
52713,بدل
190611,يتحجزوا
80158,حيتحجزوا
18637,الانتاج
17959,الاعلامي
102964,علشان
51419,بتوع
21806,التوك
195517,يطلعوهم
53112,برامجهم
111923,قليله
69926,تعود
23668,الخاصه
144142,مواطنا
139143,مصريا
5952,ابدوا
87187,رغبتهم
140585,مغادره
92871,سيتحولون
37331,النجيله
34333,المركزي
65539,تحويل
120930,لحجر
92828,سيبقون
199206,يوما
173312,وروي
18438,الامام
8718,احمد
100068,عاءشه
87359,رقم
111796,قلت
68428,تصبحوا
82616,خير
126471,لما
95238,شفت
30625,الفيديو
141225,مقدرتش
68282,تشوفوا
120901,لحاله
61077,بيشتبهوا
13225,اصابته
47919,بالكورونا
78666,حسبيا
184038,ونعم
38635,الوكيل
179803,ولسه
101355,عبسيسي
87121,رع
86321,رايح
