word2vec_model_words,word2vec_model_frequency
585,بحق
568,الخاصه
731,المرضي
5441,المرض
930,يقتل
3879,تعلن
2625,وفاه
11182,تفشي
535,الاطباء
568,سرير
2713,بالصين
817,مءكده
2767,الوباء
1515,السفر
1536,الصحي
634,البحرين
866,فان
1065,نسبه
768,فيروسات
752,الانفلونزا
4920,مرض
7574,الكورونا
4134,لمواجهه
689,فحص
788,انتقال
643,عدوي
508,طرق
2124,النفس
1253,مركز
1761,المستجد
2268,اليمن
516,الحوثي
1947,مكان
520,معا
1933,اجل
1290,سوق
1096,العمل
705,احمد
654,يكن
588,حمله
527,رحمه
541,العالمين
872,اولا
869,لعلاج
916,مصاب
10018,ووهان
1280,الدين
1137,باقي
751,الطبيه
544,بنفس
939,اكل
512,سحب
5459,عليه
710,تعتبر
600,استاذ
2238,شنو
2737,ناس
4881,يكون
735,انواع
1249,واليابان
2232,ابو
709,يريد
1211,لحد
559,منو
1103,جاي
7538,يعني
898,هسه
609,روح
739,وبعدين
674,عالم
2318,وصل
1097,وانت
829,خلاص
1802,ربك
1708,الكلاب
2873,الاسلام
1784,ليست
738,امس
510,لابد
600,خروج
855,القوات
645,عنهم
2367,وين
606,قتلت
544,مرات
3100,كما
515,بذلك
764,الاميركي
6806,وروسيا
951,والعراق
2258,وايران
545,واليمن
1463,واذا
842,كلمه
730,ولن
3876,اما
579,انفسهم
638,دعاء
965,خصوصا
602,كلامك
790,ويه
862,منع
972,ضمن
975,وانتم
879,ايش
706,فول
663,فيلم
2861,عالميه
5182,عديده
730,اعلي
1610,والهند
2590,كلها
636,الحب
3434,حسب
978,اسمه
1152,سيكون
598,ستكون
596,السياسه
890,القرن
1067,رساله
635,عظيم
2521,والا
1077,الموت
1393,انتم
1329,الحياه
739,يعرف
524,سبيل
986,يقولون
590,صدام
589,جان
1703,عليكم
6075,الناس
1159,سكان
7487,والله
1289,قامت
799,نشر
1003,التاريخ
663,العلماء
1107,فوق
609,الحفاظ
1124,للعراق
779,الامور
1450,احسن
1257,مشكله
1467,اتوقع
1236,عندي
744,سءال
1392,انو
612,السياسيه
1419,بالنسبه
622,عقد
600,الحق
1136,بسرعه
2135,يارب
1287,السودان
689,المطار
1739,حساب
1448,الاتحاد
662,اذا
5315,اني
2190,عندنا
571,خلي
774,موجود
755,زمان
770,ترا
525,عمر
597,الروس
577,حكم
668,عمان
1051,يبقي
601,اشهر
1297,صنع
844,متي
1269,النبي
567,الطلب
570,علم
1440,شاء
634,يحصل
770,الغرب
545,قادم
560,انتو
1304,مجرد
674,عراقي
993,عنده
531,باذن
1008,الجميع
1492,صناعه
1259,لايران
1542,اتمني
1293,تقريبا
606,مال
710,الخير
1231,مين
1017,الكثير
599,والمانيا
1273,بالعالم
3275,وامريكا
1804,وانا
1624,والي
542,حسن
4314,ممكن
568,بدل
1210,الدنيا
1602,علشان
538,سريع
595,الكبير
577,اقرب
790,دكتور
1097,تعمل
537,توجد
1619,اقوي
1644,عندها
1427,لكم
762,نصف
664,دين
904,تبني
1447,نفسه
2507,ايه
1266,عظمي
554,ثانيا
559,داعش
801,ملك
1114,قاتل
592,سيتم
1454,فتره
1412,تدخل
581,باي
552,وايضا
1098,ساعه
1454,السلام
551,السكان
934,الثالثه
772,تقدر
2238,ايرانيه
2430,حسبنا
826,الواحد
1061,لمن
798,مافي
1117,اكيد
518,للحد
1012,النظام
853,عباره
587,مواطن
1530,ليه
1245,عمل
1207,يحدث
1016,تروح
1621,القادمه
528,غيره
728,مهمه
519,الحكم
667,الصوره
3563,لما
883,كذلك
1091,هذا
1163,الدولار
645,حلوه
2084,لانه
1054,دخل
545,الوحيد
670,الي
2158,وكل
620,والان
4269,العسكريه
1651,كثير
626,محد
653,الحمدلله
529,الجهل
876,اخي
812,قضيه
614,اله
967,بلا
1971,بالله
2857,الوكيل
2080,بلد
1157,وهم
689,تعلم
549,بعيدا
990,الجيش
517,مجانا
537,الاكبر
807,بعدين
591,دواء
2982,مسلم
749,اسم
9577,اللهم
1211,وحده
564,ياكلون
617,خوفا
1101,السوق
564,انتاج
905,معهم
954,سواء
933,الحروب
1409,اين
754,كلنا
676,كثيره
1007,رجل
855,لانهم
1795,ولو
1058,اغلب
826,نفسها
978,اصبحت
2210,استراليا
915,الحيوانات
714,البحر
548,وقتل
1341,كلام
548,مهما
1005,ربي
747,بعدها
517,شغل
1013,وكان
817,توقف
1534,المشكله
731,نوويه
565,حلف
585,مستحيل
815,اسباب
1834,الامريكان
1944,مدري
553,منا
1158,عسكريه
609,سمعت
551,يوما
873,منتجات
532,جوي
1031,طلع
1113,العقوبات
981,مصلحه
1182,نهايه
547,بتكون
787,الحمد
1131,لله
1668,اجيب
2372,اقول
523,ايها
1960,ربنا
1684,اسيا
1093,عادي
549,بالاضافه
1085,كانوا
544,بالعكس
520,طالب
652,وبعدها
596,زمن
1013,عاد
857,منكم
521,بسيط
511,كندا
539,الشركه
665,المعلومات
596,اقتصادي
604,يصل
531,الانتاج
1074,قرار
733,اوربا
541,بهدف
785,تعالي
562,مباشره
1101,اسبانيا
956,بلاد
811,الحشد
540,قاءد
591,قطاع
1884,وليس
509,تقدم
589,الطاقه
518,اجمل
824,عندك
587,الطريق
552,يتكلم
722,حروب
578,احس
595,مءخرا
555,الظلم
1235,بقي
539,شوي
531,ثلاثه
940,الكل
3902,نيوز
562,نعرف
1083,الرد
734,صغير
674,لعبه
802,البعض
547,قدره
547,السلاح
902,اعرف
1381,كلهم
1204,السبب
696,هءلاء
5703,بحر
590,اعلام
550,موقف
510,العين
1001,اعلم
592,لاجل
991,الاويغور
882,وتركيا
763,درجه
688,ومع
693,القدس
576,تحاول
1875,داخل
1206,وفيات
1278,ابن
896,ثانيه
670,الشر
1499,قاسم
905,الايام
533,تغير
668,القوي
656,فهذا
596,الحقيقي
912,حوالي
639,يروح
1562,مقاطعه
565,المياه
1418,المدينه
1420,المفروض
1996,تركستان
621,هونج
671,كونج
500,ظاهره
517,ارهابيه
663,وساءل
1122,لمنع
898,يمنع
3030,الاسراءيليه
602,المطارات
958,لاي
557,لدرجه
1512,شعبهم
601,كامله
2924,الشماليه
752,الحل
691,انتي
3231,حاجه
556,سرعه
610,باب
771,الاقل
577,طلعت
1516,فعلا
560,يري
516,اروح
583,اسمها
1340,للاسف
1283,اهل
902,فهي
639,حجر
612,الدخول
653,شكرا
589,اعداء
569,مسعود
727,شده
1704,وقت
609,بعيد
1613,تضرب
541,القران
3108,اللبنانيه
897,صور
1128,كمان
745,فيما
657,قاعد
858,المسلمه
565,عربي
634,واسراءيل
507,نتمني
876,عده
1305,راس
664,يضرب
561,فما
512,ويقول
501,قريب
535,واحنا
879,طوارء
619,فرض
591,السيد
512,قادره
574,حمايه
3539,ايام
538,تستخدم
505,ضعيف
601,مهم
607,كارثه
604,وكذلك
722,حدود
1431,اعتبر
2447,نفسي
759,مفيش
1007,وهل
796,تغلق
816,المدن
894,انما
645,جميعا
601,الاسلامي
933,القادم
676,يدخل
532,طلبت
738,عسكريا
560,الطاءرات
4330,عشرات
594,واضح
759,شفت
515,تطلع
674,يبدو
1206,خبر
534,قريبا
501,اليهود
1167,شرق
1153,غسل
579,طرف
2810,ونعم
813,ابدا
564,والامارات
711,وصول
881,اننا
663,نسال
1622,بروح
920,اكتر
600,يلي
594,وتم
813,باكستان
553,بنك
634,واليوم
2195,مقدمه
1864,الجنوبيه
512,اسواق
758,العلاج
747,العسكري
996,اعلان
769,بورما
730,الاخري
614,محدش
738,اللغه
640,اراضيها
986,حلفاء
644,قطع
596,حدودها
787,رحلات
1143,داءما
639,مقارنه
756,ورا
1042,عايزين
706,ستر
1337,العربي
1042,لسه
2800,فهل
1021,قلت
1911,طيب
655,دخلت
1375,وكوريا
585,عارفه
1179,الحين
837,الطيران
1181,قاطعوا
520,ابناء
1149,مدن
748,عاما
642,التعامل
2978,ينتشر
548,تعارض
703,وراء
506,غريب
1669,كده
746,واللي
539,احب
505,العنف
1199,التصعيد
960,اسبوع
614,سلمان
933,ضرب
541,فتح
755,تعليق
767,المجرمه
575,المسلمون
677,الاشخاص
2338,علاج
833,معك
578,واكثر
1854,كلب
585,مافيه
552,واوروبا
665,الثانيه
1115,وسلم
569,فينا
3046,حركه
616,بلادنا
526,موت
1449,مطار
542,الخوف
626,النووي
893,امين
4090,باتجاه
2030,اليكم
610,وانما
1104,كتير
1326,عالمي
542,بحريه
520,مدير
653,الجزيره
665,المنتشر
538,وللتفاصيل
600,الدعاء
837,اليوم
632,جيدا
511,بحياه
681,معه
1272,يستر
569,نعارض
722,رحت
663,الفضل
867,سفر
708,يكفينا
2779,عاديه
861,قالوا
952,الجويه
594,الملايين
501,الخميس
1654,ياكل
1013,البشريه
875,وبريطانيا
816,تاني
565,كثر
565,المصنعه
1538,العدوي
1157,جنود
802,يلعن
545,بالامس
894,الهدوء
730,صدق
1015,اخواننا
797,الخنازير
542,مختلفه
683,عقاب
634,ضحايا
1243,عبدالله
1299,الطوارء
535,نهاءيا
1408,لزوجتي
1484,اثاث
1410,لبيتنا
1407,يذبحونك
1840,خايفه
874,وسوريا
575,فين
523,احفظ
508,برضو
1038,الحجر
1118,المواطنين
829,البرازيل
980,سارس
575,الاخوان
885,الغامض
2120,القاتل
1096,سيارات
607,الطاءره
887,صلي
541,رضي
730,اخطر
1437,حكام
573,ضبط
696,امراض
1608,الاصابه
574,رسول
2254,الفايروس
582,عارف
1337,منتشر
665,فيرس
523,الادويه
1036,ينتقل
528,اصاب
522,يصيب
1245,الفيروسات
713,تنكر
657,تهتك
630,تنسوا
612,يموت
606,حبك
1100,بالفيروس
749,فضل
693,بينكم
5420,فايروس
3617,كمامه
3674,كمامات
537,مريض
975,كدا
4974,تعقيم
1294,اليدين
712,المستشفي
558,الاعراض
1623,واءرس
1914,چین
1623,میں
769,مخاوف
7699,بفيروس
669,中國殺死穆斯林
765,انفلونزا
538,تنظيف
1084,اوزيل
659,نووي
519,الكوكب
516,اميركيه
504,المريض
583,الجهاز
618,المتوسط
659,قاتلي
1453,الايجور
633,انصر
676,الاهلي
657,السلامه
778,طاءرات
546,بتسافر
587,ميلادك
602,المالديف
518,هرمز
847,البوذيه
1354,اصابات
853,المسافرين
559,معتقلات
524,بجد
1725,لفيروس
939,عزلت
843,الملحده
574,الجمعه
519,حصيله
1135,الوفيات
886,الاصابات
577,صحيه
671,حكامنا
540,عاوزين
630,حماس
680,ثالثه
1268,القادمين
1414,اعتبرها
1407,وصبر
3973,القطع
532,انتقام
607,دلوقتي
736,الطاعون
885,الاوبءه
561,الانتشار
802,للوقايه
3205,اعوذ
1365,الوقايه
958,وضبط
657,كثب
3311,فوكس
3407,بطاريات
3458,باتريوت
2876,والحدود
2002,المناقلات
680,اتصالات
625,ويءكد
609,بخفض
711,بمرض
696,والضحايا
692,بالعشرات
657,لروسيا
3280,سحبت
3051,ونصبت
1239,مواطنيها
570,انس
503,دونغهي
1053,النفيسي
504,بنكي
795,تعزل
537,مضاد
662,الفاشيه
651,الفاجره
652,الفاسقه
652,الخاينه
1921,النبويه
1073,بفايروس
774,لقاح
711,اور
1551,الرحلات
639,بالعين
632,تجنب
637,مصابه
550,خاليه
522,واياكم
917,این
3033,والجنون
735,رعاياها
782,رحلاتها
519,وقاءيه
1573,كرونا
834,الخفافيش
1326,ویروس
661,است
1765,النصيحه
3100,البرص
3021,والجذام
3252,الاسقام
757,کرونا
1436,احفظوه
1434,وعلموه
1141,احبابكم
